'Elapsed time','ABP'
seconds','mmhg'
33.240,76.888
33.260,78.195
33.280,78.829
33.300,78.804
33.320,77.858
33.340,75.282
33.360,72.656
33.380,69.819
33.400,67.467
33.420,65.139
33.440,63.335
33.460,66.010
33.480,89.408
33.500,115.269
33.520,128.101
33.540,137.422
33.560,135.804
33.580,130.316
33.600,123.048
33.620,113.179
33.640,103.869
33.660,93.166
33.680,85.624
33.700,80.211
33.720,77.597
33.740,77.037
33.760,77.647
33.780,78.244
33.800,79.165
33.820,79.700
33.840,78.817
33.860,77.348
33.880,75.021
33.900,72.059
33.920,69.545
33.940,67.815
33.960,65.363
33.980,64.181
34.000,67.616
34.020,89.507
34.040,115.257
34.060,128.536
34.080,136.788
34.100,134.311
34.120,128.188
34.140,120.285
34.160,110.876
34.180,100.845
34.200,91.212
34.220,84.542
34.240,79.626
34.260,77.597
34.280,77.186
34.300,78.307
34.320,79.190
34.340,80.061
34.360,80.522
34.380,79.788
34.400,77.933
34.420,75.195
34.440,72.432
34.460,69.533
34.480,67.641
34.500,65.301
34.520,63.521
34.540,66.969
34.560,92.594
34.580,117.734
34.600,131.287
34.620,139.277
